Timestamp,X,Y,Z
2239258,0.016235,-0.024536,1.011108
2240260,0.016235,-0.024414,1.009521
2241263,0.015625,-0.024658,1.010254
2242265,0.016235,-0.023315,1.011230
2243268,0.016113,-0.024414,1.010864
2244270,0.016113,-0.023682,1.010498
2245273,0.016724,-0.024414,1.011597
2246275,0.016724,-0.023071,1.011230
2247278,0.015503,-0.024048,1.010254
2248280,0.015869,-0.024048,1.011475
2249282,0.016357,-0.024048,1.010376
2250285,0.015869,-0.024414,1.010254
2251287,0.015259,-0.024780,1.012085
2252290,0.016724,-0.023682,1.011841
2253292,0.016113,-0.024536,1.011597
2254295,0.015869,-0.024170,1.010742
2255297,0.016479,-0.024292,1.011353
2256300,0.016113,-0.022705,1.011353
2257302,0.016235,-0.026001,1.010864
2258305,0.015869,-0.023926,1.010498
2259307,0.015625,-0.025513,1.011841
2260310,0.015747,-0.024414,1.011108
2261312,0.016113,-0.024658,1.010864
2262314,0.015625,-0.024292,1.011230
2263317,0.015259,-0.023560,1.010986
2264319,0.015869,-0.023926,1.011719
2265322,0.017090,-0.024780,1.012451
2266324,0.016113,-0.024414,1.011597
2267327,0.015991,-0.025146,1.011963
2268329,0.015503,-0.023437,1.011719
2269332,0.015991,-0.024414,1.011719
2270334,0.015381,-0.023926,1.011230
2271337,0.015259,-0.023682,1.011353
2272339,0.016113,-0.026001,1.011475
2273342,0.015503,-0.023926,1.011230
2274344,0.013794,-0.025879,1.011353
2275347,0.016724,-0.022217,1.011230
2276349,0.015991,-0.024170,1.010864
2277351,0.016113,-0.023926,1.011597
2278354,0.015991,-0.024048,1.010864
2279356,0.016479,-0.023193,1.010864
2280359,0.016602,-0.024048,1.011108
2281361,0.015869,-0.024292,1.010742
2282364,0.015991,-0.023315,1.010376
2283366,0.016235,-0.023804,1.010742
2284369,0.015503,-0.023682,1.010864
2285371,0.016113,-0.024170,1.010742
2286374,0.015747,-0.023682,1.010986
2287376,0.016357,-0.024048,1.011597
2288379,0.016235,-0.024170,1.011230
2289381,0.016724,-0.023193,1.011475
2290384,0.016479,-0.025146,1.011841
